2023-10-12T11:21:34.770468922Z I1012 11:21:34.770214       1 template.go:437] router "msg"="starting router" "version"="majorFromGit: \nminorFromGit: \ncommitFromGit: 3a1f43ca2b7e1549c6d108b6311cda59fcca28d6\nversionFromGit: 4.0.0-408-g3a1f43ca\ngitTreeState: clean\nbuildDate: 2023-07-18T22:22:37Z\n"
2023-10-12T11:21:34.771453870Z I1012 11:21:34.771413       1 metrics.go:156] metrics "msg"="router health and metrics port listening on HTTP and HTTPS" "address"="0.0.0.0:1936"
2023-10-12T11:21:34.775962985Z I1012 11:21:34.775923       1 router.go:200] template "msg"="creating a new template router" "writeDir"="/var/lib/haproxy"
2023-10-12T11:21:34.776012948Z I1012 11:21:34.775961       1 router.go:282] template "msg"="router will coalesce reloads within an interval of each other" "interval"="5s"
2023-10-12T11:21:34.776222872Z I1012 11:21:34.776202       1 router.go:352] template "msg"="watching for changes" "path"="/etc/pki/tls/private"
2023-10-12T11:21:34.776253159Z I1012 11:21:34.776241       1 router.go:269] router "msg"="router is including routes in all namespaces" 
2023-10-12T11:21:34.886641597Z E1012 11:21:34.885484       1 haproxy.go:418] can't scrape HAProxy: dial unix /var/lib/haproxy/run/haproxy.sock: connect: no such file or directory
2023-10-12T11:21:34.918930315Z I1012 11:21:34.918870       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T11:21:39.913371799Z I1012 11:21:39.913329       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T11:52:57.875375958Z I1012 11:52:57.875321       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T11:54:42.003775476Z I1012 11:54:42.003724       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T11:59:55.981724583Z I1012 11:59:55.981680       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T16:11:50.708434458Z I1012 16:11:50.708377       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T16:11:55.870633020Z I1012 16:11:55.865697       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2023-10-12T16:12:19.086014258Z I1012 16:12:19.085973       1 router.go:635] template "msg"="router reloaded" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
